AFMGD6799H,GD,0.9972,0.0028
AFMGD6801H,GD,0.8821,0.1179
AFMGD6802H,GD,0.8904,0.1096
AFMGD6803H,GD,0.8404,0.1596
AFMGD6804H,GD,0.9955,0.0045
AFMGD6805H,GD,0.3007,0.6993
AFMGD6812H,GD,0.9605,0.0395
AFMGD6814H,GD,0.7970,0.2030
AFMGD6818H,GD,0.7768,0.2232
AFMGD6819H,GD,0.9089,0.0911
AFMGD6820H,GD,0.3643,0.6357
AFMGD6821H,GD,0.3879,0.6121
AFMGD6822H,GD,0.9945,0.0055
AFMGS6734H,GS,0.0081,0.9919
AFMGS6735H,GS,0.0855,0.9145
AFMGS6736H,GS,0.0104,0.9896
AFMGS6737H,GS,0.2334,0.7666
AFMGS6738H,GS,0.1999,0.8001
AFMGS6739H,GS,0.0799,0.9201
AFMGS6740H,GS,0.0095,0.9905
AFMGS6743H,GS,0.0032,0.9968
AFMGS6745H,GS,0.1226,0.8774
AFMGS6747H,GS,0.0401,0.9599
AFMGS6750H,GS,0.0045,0.9955
AFMGS6751H,GS,0.0086,0.9914
AFMGS6752H,GS,0.0020,0.9980
AFMGS6755H,GS,0.0151,0.9849
AFMGS6756H,GS,0.0884,0.9116
AFMJD6855H,JD,0.9925,0.0075
AFMJD6856H,JD,0.9980,0.0020
AFMJD6857H,JD,0.9680,0.0320
AFMJD6858H,JD,0.7337,0.2663
AFMJD6859H,JD,0.9951,0.0049
AFMJD6861H,JD,0.8665,0.1335
AFMJD6864H,JD,0.6716,0.3284
AFMJD6873H,JD,0.9952,0.0048
AFMJD6875H,JD,0.7754,0.2246
AFMJD6876H,JD,0.9229,0.0771
AFMJD6877H,JD,0.8591,0.1409
AFMJD6878H,JD,0.9896,0.0104
AFMJS6675H,JS,0.0056,0.9944
AFMJS6676H,JS,0.0044,0.9956
AFMJS6678H,JS,0.0138,0.9862
AFMJS6680H,JS,0.1612,0.8388
AFMJS6681H,JS,0.0064,0.9936
AFMJS6682H,JS,0.3360,0.6640
AFMJS6683H,JS,0.0030,0.9970
AFMJS6687H,JS,0.0155,0.9845
AFMJS6694H,JS,0.0153,0.9847
AFMJS6695H,JS,0.0075,0.9925
AFMJS6696H,JS,0.0628,0.9372
AFMJS6698H,JS,0.1692,0.8308
AFMJS6700H,JS,0.0083,0.9917
AFMJS6702H,JS,0.1743,0.8257
AFMPD6983H,PD,0.3201,0.6799
AFMPD6985H,PD,0.8010,0.1990
AFMPD6986H,PD,0.8293,0.1707
AFMPD6987H,PD,0.9984,0.0016
AFMPD6988H,PD,0.6456,0.3544
AFMPD6989H,PD,0.8558,0.1442
AFMPD6990H,PD,0.6024,0.3976
AFMPD6991H,PD,0.8399,0.1601
AFMPD6992H,PD,0.6232,0.3768
AFMPD6993H,PD,0.6556,0.3444
AFMPD6995H,PD,0.6413,0.3587
AFMPD6998H,PD,0.7564,0.2436
AFMPD7000H,PD,0.7099,0.2901
AFMPD7001H,PD,0.6536,0.3464
AFMPD7005H,PD,0.7343,0.2657
AFMPD7006H,PD,0.6552,0.3448
AFMPS6602H,PS,0.0056,0.9944
AFMPS6603H,PS,0.0020,0.9980
AFMPS6608H,PS,0.0104,0.9896
AFMPS6610H,PS,0.0030,0.9970
AFMPS6612H,PS,0.0082,0.9918
AFMPS6613H,PS,0.1514,0.8486
AFMPS6618H,PS,0.0054,0.9946
AFMPS6622H,PS,0.0039,0.9961
AFMPS6623H,PS,0.0124,0.9876
AFMPS6625H,PS,0.1747,0.8253
AFMPS6626H,PS,0.0816,0.9184
AFMPS6627H,PS,0.0034,0.9966
AFMPX6982H,PD,0.6694,0.3306
